,tokens,intent,intents_nums,BIO,BIO_nums,tokens_list,translated,comments,translation,proj,source_dict,source_dict_light,transfer_dict,transfer_dict_light,BIO_list_trans,BIO_nums_list_trans
578,what about portuguese,inform_food__reqalts,15,"['O', 'O', 'B-food']","[1, 1, 3]","['what', 'about', 'portuguese']","{'text': 'Was ist mit Portugiesisch', 'to': 'de', 'alignment': {'proj': '0:3-0:2 0:3-4:6 0:3-8:10 11:20-12:24'}}",1,Was ist mit Portugiesisch,0:3-0:2 0:3-4:6 0:3-8:10 11:20-12:24,"{'0:3': ['what', 'O', 1], '5:9': ['about', 'O', 1], '11:20': ['portuguese', 'B-food', 3]}","{0: ['what', 'O', 1], 5: ['about', 'O', 1], 11: ['portuguese', 'B-food', 3]}","{'0:2': '0:3', '4:6': '0:3', '8:10': '0:3', '12:24': '11:20'}","{0: 0, 4: 0, 8: 0, 12: 11}","['O', 'O', 'O', 'B-food']","[1, 1, 1, 3]"
579,telephone number,request_phone,4,"['O', 'O']","[1, 1]","['telephone', 'number']","{'text': 'Telefonnummer', 'to': 'de', 'alignment': {'proj': '0:15-0:12'}}",2,Telefonnummer,0:15-0:12,"{'0:8': ['telephone', 'O', 1], '10:15': ['number', 'O', 1]}","{0: ['telephone', 'O', 1], 10: ['number', 'O', 1]}",{'0:12': '0:15'},{0: 0},['O'],['O']
580,cheap restaurant portuguese,inform_food__inform_pricerange,10,"['B-pricerange', 'O', 'B-food']","[0, 1, 3]","['cheap', 'restaurant', 'portuguese']","{'text': 'günstiges Restaurant portugiesisch', 'to': 'de', 'alignment': {'proj': '0:4-0:8 6:15-10:19 17:26-21:33'}}",1,günstiges Restaurant portugiesisch,0:4-0:8 6:15-10:19 17:26-21:33,"{'0:4': ['cheap', 'B-pricerange', 0], '6:15': ['restaurant', 'O', 1], '17:26': ['portuguese', 'B-food', 3]}","{0: ['cheap', 'B-pricerange', 0], 6: ['restaurant', 'O', 1], 17: ['portuguese', 'B-food', 3]}","{'0:8': '0:4', '10:19': '6:15', '21:33': '17:26'}","{0: 0, 10: 6, 21: 17}","['B-pricerange', 'O', 'B-food']","[0, 1, 3]"
581,can i have a british restaurant in the east please,inform_area__inform_food,28,"['O', 'O', 'O', 'O', 'B-food', 'O', 'O', 'O', 'B-area', 'O']","[1, 1, 1, 1, 3, 1, 1, 1, 2, 1]","['can', 'i', 'have', 'a', 'british', 'restaurant', 'in', 'the', 'east', 'please']","{'text': 'Kann ich bitte ein britisches Restaurant im Osten haben', 'to': 'de', 'alignment': {'proj': '0:2-0:3 4:4-5:7 6:9-50:54 11:11-9:13 11:11-15:17 13:19-19:28 21:30-30:39 35:37-41:42 39:42-44:48'}}",1,Kann ich bitte ein britisches Restaurant im Osten haben,0:2-0:3 4:4-5:7 6:9-50:54 11:11-9:13 11:11-15:17 13:19-19:28 21:30-30:39 35:37-41:42 39:42-44:48,"{'0:2': ['can', 'O', 1], '4:4': ['i', 'O', 1], '6:9': ['have', 'O', 1], '11:11': ['a', 'O', 1], '13:19': ['british', 'B-food', 3], '21:30': ['restaurant', 'O', 1], '32:33': ['in', 'O', 1], '35:37': ['the', 'O', 1], '39:42': ['east', 'B-area', 2], '44:49': ['please', 'O', 1]}","{0: ['can', 'O', 1], 4: ['i', 'O', 1], 6: ['have', 'O', 1], 11: ['a', 'O', 1], 13: ['british', 'B-food', 3], 21: ['restaurant', 'O', 1], 32: ['in', 'O', 1], 35: ['the', 'O', 1], 39: ['east', 'B-area', 2], 44: ['please', 'O', 1]}","{'0:3': '0:2', '5:7': '4:4', '50:54': '6:9', '9:13': '11:11', '15:17': '11:11', '19:28': '13:19', '30:39': '21:30', '41:42': '35:37', '44:48': '39:42'}","{0: 0, 5: 4, 50: 6, 9: 11, 15: 11, 19: 13, 30: 21, 41: 35, 44: 39}","['O', 'O', 'O', 'O', 'B-food', 'O', 'O', 'B-area', 'O']","[1, 1, 1, 1, 3, 1, 1, 2, 1]"
582,im looking,unknown,7,"['O', 'O']","[1, 1]","['im', 'looking']","{'text': 'Ich suche', 'to': 'de', 'alignment': {'proj': '0:1-0:2 3:9-4:8'}}",1,Ich suche,0:1-0:2 3:9-4:8,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1]}","{'0:2': '0:1', '4:8': '3:9'}","{0: 0, 4: 3}","['O', 'O']","[1, 1]"
583,or,unknown,7,['O'],[1],['or'],"{'text': 'oder', 'to': 'de', 'alignment': {'proj': '0:1-0:3'}}",1,oder,0:1-0:3,"{'0:1': ['or', 'O', 1]}","{0: ['or', 'O', 1]}",{'0:3': '0:1'},{0: 0},['O'],[1]
584,greek food,inform_food,6,"['B-food', 'O']","[3, 1]","['greek', 'food']","{'text': 'griechisches Essen', 'to': 'de', 'alignment': {'proj': '0:4-0:11 6:9-13:17'}}",1,griechisches Essen,0:4-0:11 6:9-13:17,"{'0:4': ['greek', 'B-food', 3], '6:9': ['food', 'O', 1]}","{0: ['greek', 'B-food', 3], 6: ['food', 'O', 1]}","{'0:11': '0:4', '13:17': '6:9'}","{0: 0, 13: 6}","['B-food', 'O']","[3, 1]"
585,okay what about european,inform_food__reqalts,15,"['O', 'O', 'O', 'B-food']","[1, 1, 1, 3]","['okay', 'what', 'about', 'european']","{'text': 'okay, was ist mit europäischen', 'to': 'de', 'alignment': {'proj': '0:3-0:4 5:8-6:8 5:8-10:12 10:14-14:16 16:23-18:29'}}",1,"okay, was ist mit europäischen",0:3-0:4 5:8-6:8 5:8-10:12 10:14-14:16 16:23-18:29,"{'0:3': ['okay', 'O', 1], '5:8': ['what', 'O', 1], '10:14': ['about', 'O', 1], '16:23': ['european', 'B-food', 3]}","{0: ['okay', 'O', 1], 5: ['what', 'O', 1], 10: ['about', 'O', 1], 16: ['european', 'B-food', 3]}","{'0:4': '0:3', '6:8': '5:8', '10:12': '5:8', '14:16': '10:14', '18:29': '16:23'}","{0: 0, 6: 5, 10: 5, 14: 10, 18: 16}","['O', 'O', 'O', 'O', 'B-food']","[1, 1, 1, 1, 3]"
586,what about european,inform_food__reqalts,15,"['O', 'O', 'B-food']","[1, 1, 3]","['what', 'about', 'european']","{'text': 'was ist mit europäischen', 'to': 'de', 'alignment': {'proj': '0:3-0:2 0:3-4:6 0:3-8:10 11:18-12:23'}}",1,was ist mit europäischen,0:3-0:2 0:3-4:6 0:3-8:10 11:18-12:23,"{'0:3': ['what', 'O', 1], '5:9': ['about', 'O', 1], '11:18': ['european', 'B-food', 3]}","{0: ['what', 'O', 1], 5: ['about', 'O', 1], 11: ['european', 'B-food', 3]}","{'0:2': '0:3', '4:6': '0:3', '8:10': '0:3', '12:23': '11:18'}","{0: 0, 4: 0, 8: 0, 12: 11}","['O', 'O', 'O', 'B-food']","[1, 1, 1, 3]"
587,id like a restaurant that serves australian asian food,inform_food,6,"['O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 1, 1, 1, 3, 1, 1]","['id', 'like', 'a', 'restaurant', 'that', 'serves', 'australian', 'asian', 'food']","{'text': 'id wie ein Restaurant, das australische asiatische Küche serviert', 'to': 'de', 'alignment': {'proj': '0:1-0:1 3:6-3:5 8:8-7:9 10:19-11:21 21:24-23:25 26:31-57:64 33:42-27:38 44:48-40:49 50:53-51:55'}}",1,"id wie ein Restaurant, das australische asiatische Küche serviert",0:1-0:1 3:6-3:5 8:8-7:9 10:19-11:21 21:24-23:25 26:31-57:64 33:42-27:38 44:48-40:49 50:53-51:55,"{'0:1': ['id', 'O', 1], '3:6': ['like', 'O', 1], '8:8': ['a', 'O', 1], '10:19': ['restaurant', 'O', 1], '21:24': ['that', 'O', 1], '26:31': ['serves', 'O', 1], '33:42': ['australian', 'B-food', 3], '44:48': ['asian', 'O', 1], '50:53': ['food', 'O', 1]}","{0: ['id', 'O', 1], 3: ['like', 'O', 1], 8: ['a', 'O', 1], 10: ['restaurant', 'O', 1], 21: ['that', 'O', 1], 26: ['serves', 'O', 1], 33: ['australian', 'B-food', 3], 44: ['asian', 'O', 1], 50: ['food', 'O', 1]}","{'0:1': '0:1', '3:5': '3:6', '7:9': '8:8', '11:21': '10:19', '23:25': '21:24', '57:64': '26:31', '27:38': '33:42', '40:49': '44:48', '51:55': '50:53'}","{0: 0, 3: 3, 7: 8, 11: 10, 23: 21, 57: 26, 27: 33, 40: 44, 51: 50}","['O', 'O', 'O', 'O', 'O', 'B-food', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 3, 1, 1, 1]"
588,could i have a restaurant that serves turkish food,inform_food,6,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 1, 3, 1]","['could', 'i', 'have', 'a', 'restaurant', 'that', 'serves', 'turkish', 'food']","{'text': 'Könnte ich ein Restaurant haben, das türkisches Essen serviert', 'to': 'de', 'alignment': {'proj': '0:4-0:5 6:6-7:9 13:13-11:13 15:24-15:24 26:29-26:31 26:29-33:35 31:36-54:61 38:44-37:46 46:49-48:52'}}",1,"Könnte ich ein Restaurant haben, das türkisches Essen serviert",0:4-0:5 6:6-7:9 13:13-11:13 15:24-15:24 26:29-26:31 26:29-33:35 31:36-54:61 38:44-37:46 46:49-48:52,"{'0:4': ['could', 'O', 1], '6:6': ['i', 'O', 1], '8:11': ['have', 'O', 1], '13:13': ['a', 'O', 1], '15:24': ['restaurant', 'O', 1], '26:29': ['that', 'O', 1], '31:36': ['serves', 'O', 1], '38:44': ['turkish', 'B-food', 3], '46:49': ['food', 'O', 1]}","{0: ['could', 'O', 1], 6: ['i', 'O', 1], 8: ['have', 'O', 1], 13: ['a', 'O', 1], 15: ['restaurant', 'O', 1], 26: ['that', 'O', 1], 31: ['serves', 'O', 1], 38: ['turkish', 'B-food', 3], 46: ['food', 'O', 1]}","{'0:5': '0:4', '7:9': '6:6', '11:13': '13:13', '15:24': '15:24', '26:31': '26:29', '33:35': '26:29', '54:61': '31:36', '37:46': '38:44', '48:52': '46:49'}","{0: 0, 7: 6, 11: 13, 15: 15, 26: 26, 33: 26, 54: 31, 37: 38, 48: 46}","['O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 1, 1, 1, 3, 1, 1]"
589,could i get the address and post code please,request_addr__request_postcode,27,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1, 1]","['could', 'i', 'get', 'the', 'address', 'and', 'post', 'code', 'please']","{'text': 'Könnte ich die Adresse und Postleitzahl bitte bekommen', 'to': 'de', 'alignment': {'proj': '0:4-0:5 6:6-7:9 8:10-46:53 12:14-11:13 16:22-15:21 24:26-23:25 33:36-27:38 38:43-40:44'}}",1,Könnte ich die Adresse und Postleitzahl bitte bekommen,0:4-0:5 6:6-7:9 8:10-46:53 12:14-11:13 16:22-15:21 24:26-23:25 33:36-27:38 38:43-40:44,"{'0:4': ['could', 'O', 1], '6:6': ['i', 'O', 1], '8:10': ['get', 'O', 1], '12:14': ['the', 'O', 1], '16:22': ['address', 'O', 1], '24:26': ['and', 'O', 1], '28:31': ['post', 'O', 1], '33:36': ['code', 'O', 1], '38:43': ['please', 'O', 1]}","{0: ['could', 'O', 1], 6: ['i', 'O', 1], 8: ['get', 'O', 1], 12: ['the', 'O', 1], 16: ['address', 'O', 1], 24: ['and', 'O', 1], 28: ['post', 'O', 1], 33: ['code', 'O', 1], 38: ['please', 'O', 1]}","{'0:5': '0:4', '7:9': '6:6', '46:53': '8:10', '11:13': '12:14', '15:21': '16:22', '23:25': '24:26', '27:38': '33:36', '40:44': '38:43'}","{0: 0, 7: 6, 46: 8, 11: 12, 15: 16, 23: 24, 27: 33, 40: 38}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1]"
590,im looking for an expensive restaurant that serves french food,inform_food__inform_pricerange,10,"['O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 0, 1, 1, 1, 3, 1]","['im', 'looking', 'for', 'an', 'expensive', 'restaurant', 'that', 'serves', 'french', 'food']","{'text': 'Ich suche nach einem teuren Restaurant, das französische Küche serviert', 'to': 'de', 'alignment': {'proj': '0:1-0:2 3:9-4:8 3:9-10:13 15:16-15:19 18:26-21:26 28:37-28:38 39:42-40:42 44:49-63:70 51:56-44:55 58:61-57:61'}}",1,"Ich suche nach einem teuren Restaurant, das französische Küche serviert",0:1-0:2 3:9-4:8 3:9-10:13 15:16-15:19 18:26-21:26 28:37-28:38 39:42-40:42 44:49-63:70 51:56-44:55 58:61-57:61,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:16': ['an', 'O', 1], '18:26': ['expensive', 'B-pricerange', 0], '28:37': ['restaurant', 'O', 1], '39:42': ['that', 'O', 1], '44:49': ['serves', 'O', 1], '51:56': ['french', 'B-food', 3], '58:61': ['food', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['an', 'O', 1], 18: ['expensive', 'B-pricerange', 0], 28: ['restaurant', 'O', 1], 39: ['that', 'O', 1], 44: ['serves', 'O', 1], 51: ['french', 'B-food', 3], 58: ['food', 'O', 1]}","{'0:2': '0:1', '4:8': '3:9', '10:13': '3:9', '15:19': '15:16', '21:26': '18:26', '28:38': '28:37', '40:42': '39:42', '63:70': '44:49', '44:55': '51:56', '57:61': '58:61'}","{0: 0, 4: 3, 10: 3, 15: 15, 21: 18, 28: 28, 40: 39, 63: 44, 44: 51, 57: 58}","['O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 1, 0, 1, 1, 3, 1, 1]"
591,is there another place,reqalts,23,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['is', 'there', 'another', 'place']","{'text': 'gibt es einen anderen Ort', 'to': 'de', 'alignment': {'proj': '0:1-0:3 3:7-5:6 9:15-8:12 9:15-14:20 17:21-22:24'}}",1,gibt es einen anderen Ort,0:1-0:3 3:7-5:6 9:15-8:12 9:15-14:20 17:21-22:24,"{'0:1': ['is', 'O', 1], '3:7': ['there', 'O', 1], '9:15': ['another', 'O', 1], '17:21': ['place', 'O', 1]}","{0: ['is', 'O', 1], 3: ['there', 'O', 1], 9: ['another', 'O', 1], 17: ['place', 'O', 1]}","{'0:3': '0:1', '5:6': '3:7', '8:12': '9:15', '14:20': '9:15', '22:24': '17:21'}","{0: 0, 5: 3, 8: 9, 14: 9, 22: 17}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]"
592,im looking for a cheap vietnamese restaurant,inform_food__inform_pricerange,10,"['O', 'O', 'O', 'O', 'B-pricerange', 'B-food', 'O']","[1, 1, 1, 1, 0, 3, 1]","['im', 'looking', 'for', 'a', 'cheap', 'vietnamese', 'restaurant']","{'text': 'Ich bin auf der Suche nach einem günstigen vietnamesischen Restaurant', 'to': 'de', 'alignment': {'proj': '0:1-0:2 3:9-4:6 3:9-8:10 3:9-12:14 3:9-22:25 11:13-16:20 15:15-27:31 23:32-33:41 23:32-43:57 34:43-59:68'}}",1,Ich bin auf der Suche nach einem günstigen vietnamesischen Restaurant,0:1-0:2 3:9-4:6 3:9-8:10 3:9-12:14 3:9-22:25 11:13-16:20 15:15-27:31 23:32-33:41 23:32-43:57 34:43-59:68,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:15': ['a', 'O', 1], '17:21': ['cheap', 'B-pricerange', 0], '23:32': ['vietnamese', 'B-food', 3], '34:43': ['restaurant', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['a', 'O', 1], 17: ['cheap', 'B-pricerange', 0], 23: ['vietnamese', 'B-food', 3], 34: ['restaurant', 'O', 1]}","{'0:2': '0:1', '4:6': '3:9', '8:10': '3:9', '12:14': '3:9', '22:25': '3:9', '16:20': '11:13', '27:31': '15:15', '33:41': '23:32', '43:57': '23:32', '59:68': '34:43'}","{0: 0, 4: 3, 8: 3, 12: 3, 22: 3, 16: 11, 27: 15, 33: 23, 43: 23, 59: 34}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 1, 3, 3, 1]"
593,im looking for a vietnamese restaurant,inform_food,6,"['O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 3, 1]","['im', 'looking', 'for', 'a', 'vietnamese', 'restaurant']","{'text': 'Ich suche ein vietnamesisches Restaurant', 'to': 'de', 'alignment': {'proj': '0:1-0:2 3:9-4:8 15:15-10:12 17:26-14:28 28:37-30:39'}}",1,Ich suche ein vietnamesisches Restaurant,0:1-0:2 3:9-4:8 15:15-10:12 17:26-14:28 28:37-30:39,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:15': ['a', 'O', 1], '17:26': ['vietnamese', 'B-food', 3], '28:37': ['restaurant', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['a', 'O', 1], 17: ['vietnamese', 'B-food', 3], 28: ['restaurant', 'O', 1]}","{'0:2': '0:1', '4:8': '3:9', '10:12': '15:15', '14:28': '17:26', '30:39': '28:37'}","{0: 0, 4: 3, 10: 15, 14: 17, 30: 28}","['O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 3, 1]"
594,whats its phone number,request_phone,4,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['whats', 'its', 'phone', 'number']","{'text': 'wie ist seine Telefonnummer', 'to': 'de', 'alignment': {'proj': '0:4-0:2 0:4-4:6 6:8-8:12 16:21-14:26'}}",1,wie ist seine Telefonnummer,0:4-0:2 0:4-4:6 6:8-8:12 16:21-14:26,"{'0:4': ['whats', 'O', 1], '6:8': ['its', 'O', 1], '10:14': ['phone', 'O', 1], '16:21': ['number', 'O', 1]}","{0: ['whats', 'O', 1], 6: ['its', 'O', 1], 10: ['phone', 'O', 1], 16: ['number', 'O', 1]}","{'0:2': '0:4', '4:6': '0:4', '8:12': '6:8', '14:26': '16:21'}","{0: 0, 4: 0, 8: 6, 14: 16}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
595,how much,request_pricerange,19,"['O', 'O']","[1, 1]","['how', 'much']","{'text': 'Wie viel', 'to': 'de', 'alignment': {'proj': '0:7-0:7'}}",2,Wie viel,0:7-0:7,"{'0:2': ['how', 'O', 1], '4:7': ['much', 'O', 1]}","{0: ['how', 'O', 1], 4: ['much', 'O', 1]}",{'0:7': '0:7'},{0: 0},"['O', 'O']",['O']
596,whats its address,request_addr,3,"['O', 'O', 'O']","[1, 1, 1]","['whats', 'its', 'address']","{'text': 'was ist seine Adresse', 'to': 'de', 'alignment': {'proj': '0:4-0:2 0:4-4:6 6:8-8:12 10:16-14:20'}}",1,was ist seine Adresse,0:4-0:2 0:4-4:6 6:8-8:12 10:16-14:20,"{'0:4': ['whats', 'O', 1], '6:8': ['its', 'O', 1], '10:16': ['address', 'O', 1]}","{0: ['whats', 'O', 1], 6: ['its', 'O', 1], 10: ['address', 'O', 1]}","{'0:2': '0:4', '4:6': '0:4', '8:12': '6:8', '14:20': '10:16'}","{0: 0, 4: 0, 8: 6, 14: 10}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
597,may i have its phone number,request_phone,4,"['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['may', 'i', 'have', 'its', 'phone', 'number']","{'text': 'kann ich seine Telefonnummer haben', 'to': 'de', 'alignment': {'proj': '0:2-0:3 4:4-5:7 6:9-29:33 11:13-9:13 15:19-15:27'}}",1,kann ich seine Telefonnummer haben,0:2-0:3 4:4-5:7 6:9-29:33 11:13-9:13 15:19-15:27,"{'0:2': ['may', 'O', 1], '4:4': ['i', 'O', 1], '6:9': ['have', 'O', 1], '11:13': ['its', 'O', 1], '15:19': ['phone', 'O', 1], '21:26': ['number', 'O', 1]}","{0: ['may', 'O', 1], 4: ['i', 'O', 1], 6: ['have', 'O', 1], 11: ['its', 'O', 1], 15: ['phone', 'O', 1], 21: ['number', 'O', 1]}","{'0:3': '0:2', '5:7': '4:4', '29:33': '6:9', '9:13': '11:13', '15:27': '15:19'}","{0: 0, 5: 4, 29: 6, 9: 11, 15: 15}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]"
598,yes i would like portuguese food,affirm__inform_food,38,"['O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 3, 1]","['yes', 'i', 'would', 'like', 'portuguese', 'food']","{'text': 'Ja, ich möchte portugiesisches Essen', 'to': 'de', 'alignment': {'proj': '0:2-0:2 4:4-4:6 12:15-8:13 17:26-15:29 28:31-31:35'}}",1,"Ja, ich möchte portugiesisches Essen",0:2-0:2 4:4-4:6 12:15-8:13 17:26-15:29 28:31-31:35,"{'0:2': ['yes', 'O', 1], '4:4': ['i', 'O', 1], '6:10': ['would', 'O', 1], '12:15': ['like', 'O', 1], '17:26': ['portuguese', 'B-food', 3], '28:31': ['food', 'O', 1]}","{0: ['yes', 'O', 1], 4: ['i', 'O', 1], 6: ['would', 'O', 1], 12: ['like', 'O', 1], 17: ['portuguese', 'B-food', 3], 28: ['food', 'O', 1]}","{'0:2': '0:2', '4:6': '4:4', '8:13': '12:15', '15:29': '17:26', '31:35': '28:31'}","{0: 0, 4: 4, 8: 12, 15: 17, 31: 28}","['O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 3, 1]"
599,sea food,inform_food,6,"['B-food', 'I-food']","[3, 8]","['sea', 'food']","{'text': 'Meeresfrüchte', 'to': 'de', 'alignment': {'proj': '0:2-0:12'}}",2,Meeresfrüchte,0:2-0:12,"{'0:2': ['sea', 'B-food', 3], '4:7': ['food', 'I-food', 8]}","{0: ['sea', 'B-food', 3], 4: ['food', 'I-food', 8]}",{'0:12': '0:2'},{0: 0},['B-food'],['O']
600,price,request_pricerange,19,['O'],[1],['price'],"{'text': 'Preis', 'to': 'de', 'alignment': {'proj': '0:4-0:4'}}",1,Preis,0:4-0:4,"{'0:4': ['price', 'O', 1]}","{0: ['price', 'O', 1]}",{'0:4': '0:4'},{0: 0},['O'],[1]
601,im looking for polish food,inform_food,6,"['O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 3, 1]","['im', 'looking', 'for', 'polish', 'food']","{'text': 'Ich bin auf der Suche nach polnischem Essen', 'to': 'de', 'alignment': {'proj': '0:1-0:2 3:9-4:6 3:9-8:10 3:9-12:14 3:9-22:25 11:13-16:20 15:20-27:36 22:25-38:42'}}",1,Ich bin auf der Suche nach polnischem Essen,0:1-0:2 3:9-4:6 3:9-8:10 3:9-12:14 3:9-22:25 11:13-16:20 15:20-27:36 22:25-38:42,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:20': ['polish', 'B-food', 3], '22:25': ['food', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['polish', 'B-food', 3], 22: ['food', 'O', 1]}","{'0:2': '0:1', '4:6': '3:9', '8:10': '3:9', '12:14': '3:9', '22:25': '3:9', '16:20': '11:13', '27:36': '15:20', '38:42': '22:25'}","{0: 0, 4: 3, 8: 3, 12: 3, 22: 3, 16: 11, 27: 15, 38: 22}","['O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 3, 1]"
602,what about thai food,inform_food__reqalts,15,"['O', 'O', 'B-food', 'O']","[1, 1, 3, 1]","['what', 'about', 'thai', 'food']","{'text': 'Was ist mit thailändischem Essen', 'to': 'de', 'alignment': {'proj': '0:3-0:2 0:3-4:6 0:3-8:10 11:14-12:25 16:19-27:31'}}",1,Was ist mit thailändischem Essen,0:3-0:2 0:3-4:6 0:3-8:10 11:14-12:25 16:19-27:31,"{'0:3': ['what', 'O', 1], '5:9': ['about', 'O', 1], '11:14': ['thai', 'B-food', 3], '16:19': ['food', 'O', 1]}","{0: ['what', 'O', 1], 5: ['about', 'O', 1], 11: ['thai', 'B-food', 3], 16: ['food', 'O', 1]}","{'0:2': '0:3', '4:6': '0:3', '8:10': '0:3', '12:25': '11:14', '27:31': '16:19'}","{0: 0, 4: 0, 8: 0, 12: 11, 27: 16}","['O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 3, 1]"
603,what about the phone number,request_phone,4,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['what', 'about', 'the', 'phone', 'number']","{'text': 'Was ist mit der Telefonnummer', 'to': 'de', 'alignment': {'proj': '0:3-0:2 0:3-4:6 11:13-8:10 11:13-12:14 21:26-16:28'}}",1,Was ist mit der Telefonnummer,0:3-0:2 0:3-4:6 11:13-8:10 11:13-12:14 21:26-16:28,"{'0:3': ['what', 'O', 1], '5:9': ['about', 'O', 1], '11:13': ['the', 'O', 1], '15:19': ['phone', 'O', 1], '21:26': ['number', 'O', 1]}","{0: ['what', 'O', 1], 5: ['about', 'O', 1], 11: ['the', 'O', 1], 15: ['phone', 'O', 1], 21: ['number', 'O', 1]}","{'0:2': '0:3', '4:6': '0:3', '8:10': '11:13', '12:14': '11:13', '16:28': '21:26'}","{0: 0, 4: 0, 8: 11, 12: 11, 16: 21}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]"
604,chinese restaurant in the south part of town,inform_area__inform_food,28,"['B-food', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[3, 1, 1, 1, 2, 1, 1, 1]","['chinese', 'restaurant', 'in', 'the', 'south', 'part', 'of', 'town']","{'text': 'chinesisches Restaurant im südlichen Teil der Stadt', 'to': 'de', 'alignment': {'proj': '0:6-0:11 8:17-13:22 22:24-24:25 26:30-27:35 32:35-37:40 37:38-42:44 40:43-46:50'}}",1,chinesisches Restaurant im südlichen Teil der Stadt,0:6-0:11 8:17-13:22 22:24-24:25 26:30-27:35 32:35-37:40 37:38-42:44 40:43-46:50,"{'0:6': ['chinese', 'B-food', 3], '8:17': ['restaurant', 'O', 1], '19:20': ['in', 'O', 1], '22:24': ['the', 'O', 1], '26:30': ['south', 'B-area', 2], '32:35': ['part', 'O', 1], '37:38': ['of', 'O', 1], '40:43': ['town', 'O', 1]}","{0: ['chinese', 'B-food', 3], 8: ['restaurant', 'O', 1], 19: ['in', 'O', 1], 22: ['the', 'O', 1], 26: ['south', 'B-area', 2], 32: ['part', 'O', 1], 37: ['of', 'O', 1], 40: ['town', 'O', 1]}","{'0:11': '0:6', '13:22': '8:17', '24:25': '22:24', '27:35': '26:30', '37:40': '32:35', '42:44': '37:38', '46:50': '40:43'}","{0: 0, 13: 8, 24: 22, 27: 26, 37: 32, 42: 37, 46: 40}","['B-food', 'O', 'O', 'B-area', 'O', 'O', 'O']","[3, 1, 1, 2, 1, 1, 1]"
