index,tokens,intent,intents_nums,BIO,BIO_nums,tokens_list,translated,comments,translation,proj,source_dict,source_dict_light,transfer_dict,transfer_dict_light,BIO_list_trans,BIO_nums_list_trans,BIO_list_trans_RU,BIO_nums_list_trans_RU
566,french food any part of town,inform_area__inform_food,28,"['B-food', 'O', 'B-area', 'I-area', 'O', 'O']","[3, 1, 2, 10, 1, 1]","['french', 'food', 'any', 'part', 'of', 'town']","{'text': 'французская еда в любой части города', 'to': 'ru', 'alignment': {'proj': '0:5-0:10 7:10-12:14 12:14-16:16 12:14-18:22 16:19-24:28 24:27-30:35'}}",1,французская еда в любой части города,0:5-0:10 7:10-12:14 12:14-16:16 12:14-18:22 16:19-24:28 24:27-30:35,"{'0:5': ['french', 'B-food', 3], '7:10': ['food', 'O', 1], '12:14': ['any', 'B-area', 2], '16:19': ['part', 'I-area', 10], '21:22': ['of', 'O', 1], '24:27': ['town', 'O', 1]}","{0: ['french', 'B-food', 3], 7: ['food', 'O', 1], 12: ['any', 'B-area', 2], 16: ['part', 'I-area', 10], 21: ['of', 'O', 1], 24: ['town', 'O', 1]}","{'0:10': '0:5', '12:14': '7:10', '16:16': '12:14', '18:22': '12:14', '24:28': '16:19', '30:35': '24:27'}","{0: 0, 12: 7, 16: 12, 18: 12, 24: 16, 30: 24}","['B-food', 'O', 'B-area', 'B-area', 'I-area', 'O', 'O']","[3, 1, 2, 2, 10, 1, 1]","['B-food', 'O', 'B-area', 'B-area', 'I-area', 'O']","[3, 1, 2, 2, 10, 1]"
567,im looking for a restaurant in the west part of town,inform_area,2,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]","['im', 'looking', 'for', 'a', 'restaurant', 'in', 'the', 'west', 'part', 'of', 'town']","{'text': 'Я ищу ресторан в западной части города', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 3:9-2:4 17:26-6:13 28:29-15:15 35:38-17:24 40:43-26:30 48:51-32:37'}}",1,Я ищу ресторан в западной части города,0:1-0:0 3:9-2:4 17:26-6:13 28:29-15:15 35:38-17:24 40:43-26:30 48:51-32:37,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:15': ['a', 'O', 1], '17:26': ['restaurant', 'O', 1], '28:29': ['in', 'O', 1], '31:33': ['the', 'O', 1], '35:38': ['west', 'B-area', 2], '40:43': ['part', 'O', 1], '45:46': ['of', 'O', 1], '48:51': ['town', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['a', 'O', 1], 17: ['restaurant', 'O', 1], 28: ['in', 'O', 1], 31: ['the', 'O', 1], 35: ['west', 'B-area', 2], 40: ['part', 'O', 1], 45: ['of', 'O', 1], 48: ['town', 'O', 1]}","{'0:0': '0:1', '2:4': '3:9', '6:13': '17:26', '15:15': '28:29', '17:24': '35:38', '26:30': '40:43', '32:37': '48:51'}","{0: 0, 2: 3, 6: 17, 15: 28, 17: 35, 26: 40, 32: 48}","['O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 2, 1, 1, 1]","['O', 'O', 'O', 'O', 'B-area', 'O', 'O']","[1, 1, 1, 1, 2, 1, 1]"
568,can i have the address phone number,request_addr__request_phone,9,"['O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1]","['can', 'i', 'have', 'the', 'address', 'phone', 'number']","{'text': 'Могу ли я иметь адрес номер телефона', 'to': 'ru', 'alignment': {'proj': '0:2-0:3 0:2-5:6 4:4-8:8 6:9-10:14 15:21-16:20 23:27-28:35 29:34-22:26'}}",1,Могу ли я иметь адрес номер телефона,0:2-0:3 0:2-5:6 4:4-8:8 6:9-10:14 15:21-16:20 23:27-28:35 29:34-22:26,"{'0:2': ['can', 'O', 1], '4:4': ['i', 'O', 1], '6:9': ['have', 'O', 1], '11:13': ['the', 'O', 1], '15:21': ['address', 'O', 1], '23:27': ['phone', 'O', 1], '29:34': ['number', 'O', 1]}","{0: ['can', 'O', 1], 4: ['i', 'O', 1], 6: ['have', 'O', 1], 11: ['the', 'O', 1], 15: ['address', 'O', 1], 23: ['phone', 'O', 1], 29: ['number', 'O', 1]}","{'0:3': '0:2', '5:6': '0:2', '8:8': '4:4', '10:14': '6:9', '16:20': '15:21', '28:35': '23:27', '22:26': '29:34'}","{0: 0, 5: 0, 8: 4, 10: 6, 16: 15, 28: 23, 22: 29}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1]"
569,im looking for a restaurant in north part of town serving austrian food,inform_area__inform_food,28,"['O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1]","['im', 'looking', 'for', 'a', 'restaurant', 'in', 'north', 'part', 'of', 'town', 'serving', 'austrian', 'food']","{'text': 'Я ищу ресторан в северной части города, где подают блюда австрийской кухни', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 3:9-2:4 17:26-6:13 28:29-15:15 31:35-17:24 37:40-26:30 45:48-32:38 50:56-40:42 50:56-44:49 58:65-51:55 58:65-57:67 67:70-69:73'}}",1,"Я ищу ресторан в северной части города, где подают блюда австрийской кухни",0:1-0:0 3:9-2:4 17:26-6:13 28:29-15:15 31:35-17:24 37:40-26:30 45:48-32:38 50:56-40:42 50:56-44:49 58:65-51:55 58:65-57:67 67:70-69:73,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:15': ['a', 'O', 1], '17:26': ['restaurant', 'O', 1], '28:29': ['in', 'O', 1], '31:35': ['north', 'B-area', 2], '37:40': ['part', 'O', 1], '42:43': ['of', 'O', 1], '45:48': ['town', 'O', 1], '50:56': ['serving', 'O', 1], '58:65': ['austrian', 'B-food', 3], '67:70': ['food', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['a', 'O', 1], 17: ['restaurant', 'O', 1], 28: ['in', 'O', 1], 31: ['north', 'B-area', 2], 37: ['part', 'O', 1], 42: ['of', 'O', 1], 45: ['town', 'O', 1], 50: ['serving', 'O', 1], 58: ['austrian', 'B-food', 3], 67: ['food', 'O', 1]}","{'0:0': '0:1', '2:4': '3:9', '6:13': '17:26', '15:15': '28:29', '17:24': '31:35', '26:30': '37:40', '32:38': '45:48', '40:42': '50:56', '44:49': '50:56', '51:55': '58:65', '57:67': '58:65', '69:73': '67:70'}","{0: 0, 2: 3, 6: 17, 15: 28, 17: 31, 26: 37, 32: 45, 40: 50, 44: 50, 51: 58, 57: 58, 69: 67}","['O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1]","['O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'B-food', 'B-food', 'O']","[1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 3, 1]"
570,how about an indian restaurant,inform_food__reqalts,15,"['O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 3, 1]","['how', 'about', 'an', 'indian', 'restaurant']","{'text': 'как насчет индийского ресторана', 'to': 'ru', 'alignment': {'proj': '0:2-0:2 4:8-4:9 13:18-11:20 20:29-22:30'}}",1,как насчет индийского ресторана,0:2-0:2 4:8-4:9 13:18-11:20 20:29-22:30,"{'0:2': ['how', 'O', 1], '4:8': ['about', 'O', 1], '10:11': ['an', 'O', 1], '13:18': ['indian', 'B-food', 3], '20:29': ['restaurant', 'O', 1]}","{0: ['how', 'O', 1], 4: ['about', 'O', 1], 10: ['an', 'O', 1], 13: ['indian', 'B-food', 3], 20: ['restaurant', 'O', 1]}","{'0:2': '0:2', '4:9': '4:8', '11:20': '13:18', '22:30': '20:29'}","{0: 0, 4: 4, 11: 13, 22: 20}","['O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 3, 1]","['O', 'O', 'B-food', 'O']","[1, 1, 3, 1]"
571,what about indian,inform_food__reqalts,15,"['O', 'O', 'B-food']","[1, 1, 3]","['what', 'about', 'indian']","{'text': 'А как насчет индийского', 'to': 'ru', 'alignment': {'proj': '0:3-0:0 0:3-2:4 5:9-6:11 11:16-13:22'}}",1,А как насчет индийского,0:3-0:0 0:3-2:4 5:9-6:11 11:16-13:22,"{'0:3': ['what', 'O', 1], '5:9': ['about', 'O', 1], '11:16': ['indian', 'B-food', 3]}","{0: ['what', 'O', 1], 5: ['about', 'O', 1], 11: ['indian', 'B-food', 3]}","{'0:0': '0:3', '2:4': '0:3', '6:11': '5:9', '13:22': '11:16'}","{0: 0, 2: 0, 6: 5, 13: 11}","['O', 'O', 'O', 'B-food']","[1, 1, 1, 3]","['O', 'O', 'O', 'B-food']","[1, 1, 1, 3]"
572,moderately priced north part of town,inform_area__inform_pricerange,8,"['B-pricerange', 'O', 'B-area', 'O', 'O', 'O']","[0, 1, 2, 1, 1, 1]","['moderately', 'priced', 'north', 'part', 'of', 'town']","{'text': 'по умеренной цене северная часть города', 'to': 'ru', 'alignment': {'proj': '0:9-0:1 0:9-3:11 11:16-13:16 18:22-18:25 24:27-27:31 32:35-33:38'}}",1,по умеренной цене северная часть города,0:9-0:1 0:9-3:11 11:16-13:16 18:22-18:25 24:27-27:31 32:35-33:38,"{'0:9': ['moderately', 'B-pricerange', 0], '11:16': ['priced', 'O', 1], '18:22': ['north', 'B-area', 2], '24:27': ['part', 'O', 1], '29:30': ['of', 'O', 1], '32:35': ['town', 'O', 1]}","{0: ['moderately', 'B-pricerange', 0], 11: ['priced', 'O', 1], 18: ['north', 'B-area', 2], 24: ['part', 'O', 1], 29: ['of', 'O', 1], 32: ['town', 'O', 1]}","{'0:1': '0:9', '3:11': '0:9', '13:16': '11:16', '18:25': '18:22', '27:31': '24:27', '33:38': '32:35'}","{0: 0, 3: 0, 13: 11, 18: 18, 27: 24, 33: 32}","['O', 'B-area', 'O', 'O', 'O']","[1, 2, 1, 1, 1]","['B-pricerange', 'B-pricerange', 'O', 'B-area', 'O', 'O']","[0, 0, 1, 2, 1, 1]"
573,moderately priced priced restaurant,inform_pricerange,0,"['B-pricerange', 'O', 'O', 'O']","[0, 1, 1, 1]","['moderately', 'priced', 'priced', 'restaurant']","{'text': 'ресторан по умеренной цене', 'to': 'ru', 'alignment': {'proj': '0:9-9:10 0:9-12:20 18:23-22:25 25:34-0:7'}}",1,ресторан по умеренной цене,0:9-9:10 0:9-12:20 18:23-22:25 25:34-0:7,"{'0:9': ['moderately', 'B-pricerange', 0], '11:16': ['priced', 'O', 1], '18:23': ['priced', 'O', 1], '25:34': ['restaurant', 'O', 1]}","{0: ['moderately', 'B-pricerange', 0], 11: ['priced', 'O', 1], 18: ['priced', 'O', 1], 25: ['restaurant', 'O', 1]}","{'9:10': '0:9', '12:20': '0:9', '22:25': '18:23', '0:7': '25:34'}","{9: 0, 12: 0, 22: 18, 0: 25}","['B-pricerange', 'O']","[0, 1]","['O', 'B-pricerange', 'B-pricerange', 'O']","[1, 0, 0, 1]"
574,serving mexican food,inform_food,6,"['O', 'B-food', 'O']","[1, 3, 1]","['serving', 'mexican', 'food']","{'text': 'сервировка мексиканской кухни', 'to': 'ru', 'alignment': {'proj': '0:6-0:9 8:14-11:22 16:19-24:28'}}",1,сервировка мексиканской кухни,0:6-0:9 8:14-11:22 16:19-24:28,"{'0:6': ['serving', 'O', 1], '8:14': ['mexican', 'B-food', 3], '16:19': ['food', 'O', 1]}","{0: ['serving', 'O', 1], 8: ['mexican', 'B-food', 3], 16: ['food', 'O', 1]}","{'0:9': '0:6', '11:22': '8:14', '24:28': '16:19'}","{0: 0, 11: 8, 24: 16}","['O', 'O', 'O']","[1, 1, 1]","['O', 'B-food', 'O']","[1, 3, 1]"
575,international food,inform_food,6,"['B-food', 'O']","[3, 1]","['international', 'food']","{'text': 'международная кухня', 'to': 'ru', 'alignment': {'proj': '0:12-0:12 14:17-14:18'}}",1,международная кухня,0:12-0:12 14:17-14:18,"{'0:12': ['international', 'B-food', 3], '14:17': ['food', 'O', 1]}","{0: ['international', 'B-food', 3], 14: ['food', 'O', 1]}","{'0:12': '0:12', '14:18': '14:17'}","{0: 0, 14: 14}","['B-food', 'O']","[3, 1]","['B-food', 'O']","[3, 1]"
576,postcode,request_postcode,24,['O'],[1],['postcode'],"{'text': 'почтовый индекс', 'to': 'ru', 'alignment': {'proj': '0:7-0:14'}}",1,почтовый индекс,0:7-0:14,"{'0:7': ['postcode', 'O', 1]}","{0: ['postcode', 'O', 1]}",{'0:14': '0:7'},{0: 0},['O'],[1],"['O', -100]","[1, -100]"
577,im looking for a restaurant in the south part of town it should serve kosher food,inform_area__inform_food,28,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1]","['im', 'looking', 'for', 'a', 'restaurant', 'in', 'the', 'south', 'part', 'of', 'town', 'it', 'should', 'serve', 'kosher', 'food']","{'text': 'Я ищу ресторан в южной части города, в нем должна быть подаёт кошерная еда', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 3:9-2:4 17:26-6:13 28:29-15:15 35:39-17:21 41:44-23:27 49:52-29:35 49:52-39:41 54:55-37:37 57:62-43:48 64:68-50:53 64:68-55:60 70:75-62:69 77:80-71:73'}}",1,"Я ищу ресторан в южной части города, в нем должна быть подаёт кошерная еда",0:1-0:0 3:9-2:4 17:26-6:13 28:29-15:15 35:39-17:21 41:44-23:27 49:52-29:35 49:52-39:41 54:55-37:37 57:62-43:48 64:68-50:53 64:68-55:60 70:75-62:69 77:80-71:73,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:15': ['a', 'O', 1], '17:26': ['restaurant', 'O', 1], '28:29': ['in', 'O', 1], '31:33': ['the', 'O', 1], '35:39': ['south', 'B-area', 2], '41:44': ['part', 'O', 1], '46:47': ['of', 'O', 1], '49:52': ['town', 'O', 1], '54:55': ['it', 'O', 1], '57:62': ['should', 'O', 1], '64:68': ['serve', 'O', 1], '70:75': ['kosher', 'B-food', 3], '77:80': ['food', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['a', 'O', 1], 17: ['restaurant', 'O', 1], 28: ['in', 'O', 1], 31: ['the', 'O', 1], 35: ['south', 'B-area', 2], 41: ['part', 'O', 1], 46: ['of', 'O', 1], 49: ['town', 'O', 1], 54: ['it', 'O', 1], 57: ['should', 'O', 1], 64: ['serve', 'O', 1], 70: ['kosher', 'B-food', 3], 77: ['food', 'O', 1]}","{'0:0': '0:1', '2:4': '3:9', '6:13': '17:26', '15:15': '28:29', '17:21': '35:39', '23:27': '41:44', '29:35': '49:52', '39:41': '49:52', '37:37': '54:55', '43:48': '57:62', '50:53': '64:68', '55:60': '64:68', '62:69': '70:75', '71:73': '77:80'}","{0: 0, 2: 3, 6: 17, 15: 28, 17: 35, 23: 41, 29: 49, 39: 49, 37: 54, 43: 57, 50: 64, 55: 64, 62: 70, 71: 77}","['O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1]","['O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1]"
578,what about portuguese,inform_food__reqalts,15,"['O', 'O', 'B-food']","[1, 1, 3]","['what', 'about', 'portuguese']","{'text': 'как насчет португальского языка', 'to': 'ru', 'alignment': {'proj': '0:3-0:2 5:9-4:9 11:20-11:24 11:20-26:30'}}",1,как насчет португальского языка,0:3-0:2 5:9-4:9 11:20-11:24 11:20-26:30,"{'0:3': ['what', 'O', 1], '5:9': ['about', 'O', 1], '11:20': ['portuguese', 'B-food', 3]}","{0: ['what', 'O', 1], 5: ['about', 'O', 1], 11: ['portuguese', 'B-food', 3]}","{'0:2': '0:3', '4:9': '5:9', '11:24': '11:20', '26:30': '11:20'}","{0: 0, 4: 5, 11: 11, 26: 11}","['O', 'O', 'O', 'B-food']","[1, 1, 1, 3]","['O', 'O', 'B-food', 'B-food']","[1, 1, 3, 3]"
579,telephone number,request_phone,4,"['O', 'O']","[1, 1]","['telephone', 'number']","{'text': 'номер телефона', 'to': 'ru', 'alignment': {'proj': '0:15-0:13'}}",0,номер телефона,0:15-0:13,"{'0:8': ['telephone', 'O', 1], '10:15': ['number', 'O', 1]}","{0: ['telephone', 'O', 1], 10: ['number', 'O', 1]}",{'0:13': '0:15'},{0: 0},['O'],['O'],"['O', -100]","[1, -100]"
580,cheap restaurant portuguese,inform_food__inform_pricerange,10,"['B-pricerange', 'O', 'B-food']","[0, 1, 3]","['cheap', 'restaurant', 'portuguese']","{'text': 'недорогой ресторан португальский', 'to': 'ru', 'alignment': {'proj': '0:4-0:8 6:15-10:17 17:26-19:31'}}",1,недорогой ресторан португальский,0:4-0:8 6:15-10:17 17:26-19:31,"{'0:4': ['cheap', 'B-pricerange', 0], '6:15': ['restaurant', 'O', 1], '17:26': ['portuguese', 'B-food', 3]}","{0: ['cheap', 'B-pricerange', 0], 6: ['restaurant', 'O', 1], 17: ['portuguese', 'B-food', 3]}","{'0:8': '0:4', '10:17': '6:15', '19:31': '17:26'}","{0: 0, 10: 6, 19: 17}","['B-pricerange', 'O', 'B-food']","[0, 1, 3]","['B-pricerange', 'O', 'B-food']","[0, 1, 3]"
581,can i have a british restaurant in the east please,inform_area__inform_food,28,"['O', 'O', 'O', 'O', 'B-food', 'O', 'O', 'O', 'B-area', 'O']","[1, 1, 1, 1, 3, 1, 1, 1, 2, 1]","['can', 'i', 'have', 'a', 'british', 'restaurant', 'in', 'the', 'east', 'please']","{'text': 'Могу ли я иметь британский ресторан на востоке, пожалуйста', 'to': 'ru', 'alignment': {'proj': '0:2-0:3 0:2-5:6 4:4-8:8 6:9-10:14 13:19-16:25 21:30-27:34 35:37-36:37 44:49-39:46 44:49-48:57'}}",1,"Могу ли я иметь британский ресторан на востоке, пожалуйста",0:2-0:3 0:2-5:6 4:4-8:8 6:9-10:14 13:19-16:25 21:30-27:34 35:37-36:37 44:49-39:46 44:49-48:57,"{'0:2': ['can', 'O', 1], '4:4': ['i', 'O', 1], '6:9': ['have', 'O', 1], '11:11': ['a', 'O', 1], '13:19': ['british', 'B-food', 3], '21:30': ['restaurant', 'O', 1], '32:33': ['in', 'O', 1], '35:37': ['the', 'O', 1], '39:42': ['east', 'B-area', 2], '44:49': ['please', 'O', 1]}","{0: ['can', 'O', 1], 4: ['i', 'O', 1], 6: ['have', 'O', 1], 11: ['a', 'O', 1], 13: ['british', 'B-food', 3], 21: ['restaurant', 'O', 1], 32: ['in', 'O', 1], 35: ['the', 'O', 1], 39: ['east', 'B-area', 2], 44: ['please', 'O', 1]}","{'0:3': '0:2', '5:6': '0:2', '8:8': '4:4', '10:14': '6:9', '16:25': '13:19', '27:34': '21:30', '36:37': '35:37', '39:46': '44:49', '48:57': '44:49'}","{0: 0, 5: 0, 8: 4, 10: 6, 16: 13, 27: 21, 36: 35, 39: 44, 48: 44}","['O', 'O', 'O', 'O', 'B-food', 'O', 'O', 'B-area', 'O']","[1, 1, 1, 1, 3, 1, 1, 2, 1]","['O', 'O', 'O', 'O', 'B-food', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 3, 1, 1, 1, 1]"
582,im looking,unknown,7,"['O', 'O']","[1, 1]","['im', 'looking']","{'text': 'Я смотрю', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 3:9-2:7'}}",1,Я смотрю,0:1-0:0 3:9-2:7,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1]}","{'0:0': '0:1', '2:7': '3:9'}","{0: 0, 2: 3}","['O', 'O']","[1, 1]","['O', 'O']","[1, 1]"
583,or,unknown,7,['O'],[1],['or'],"{'text': 'или', 'to': 'ru', 'alignment': {'proj': '0:1-0:2'}}",1,или,0:1-0:2,"{'0:1': ['or', 'O', 1]}","{0: ['or', 'O', 1]}",{'0:2': '0:1'},{0: 0},['O'],[1],['O'],[1]
584,greek food,inform_food,6,"['B-food', 'O']","[3, 1]","['greek', 'food']","{'text': 'греческая кухня', 'to': 'ru', 'alignment': {'proj': '0:4-0:8 6:9-10:14'}}",1,греческая кухня,0:4-0:8 6:9-10:14,"{'0:4': ['greek', 'B-food', 3], '6:9': ['food', 'O', 1]}","{0: ['greek', 'B-food', 3], 6: ['food', 'O', 1]}","{'0:8': '0:4', '10:14': '6:9'}","{0: 0, 10: 6}","['B-food', 'O']","[3, 1]","['B-food', 'O']","[3, 1]"
585,okay what about european,inform_food__reqalts,15,"['O', 'O', 'O', 'B-food']","[1, 1, 1, 3]","['okay', 'what', 'about', 'european']","{'text': 'Хорошо, как насчет европейского', 'to': 'ru', 'alignment': {'proj': '0:3-0:6 5:8-8:10 10:14-12:17 16:23-19:30'}}",1,"Хорошо, как насчет европейского",0:3-0:6 5:8-8:10 10:14-12:17 16:23-19:30,"{'0:3': ['okay', 'O', 1], '5:8': ['what', 'O', 1], '10:14': ['about', 'O', 1], '16:23': ['european', 'B-food', 3]}","{0: ['okay', 'O', 1], 5: ['what', 'O', 1], 10: ['about', 'O', 1], 16: ['european', 'B-food', 3]}","{'0:6': '0:3', '8:10': '5:8', '12:17': '10:14', '19:30': '16:23'}","{0: 0, 8: 5, 12: 10, 19: 16}","['O', 'O', 'O', 'O', 'B-food']","[1, 1, 1, 1, 3]","['O', 'O', 'O', 'B-food']","[1, 1, 1, 3]"
586,what about european,inform_food__reqalts,15,"['O', 'O', 'B-food']","[1, 1, 3]","['what', 'about', 'european']","{'text': 'как насчет европейского', 'to': 'ru', 'alignment': {'proj': '0:3-0:2 5:9-4:9 11:18-11:22'}}",1,как насчет европейского,0:3-0:2 5:9-4:9 11:18-11:22,"{'0:3': ['what', 'O', 1], '5:9': ['about', 'O', 1], '11:18': ['european', 'B-food', 3]}","{0: ['what', 'O', 1], 5: ['about', 'O', 1], 11: ['european', 'B-food', 3]}","{'0:2': '0:3', '4:9': '5:9', '11:22': '11:18'}","{0: 0, 4: 5, 11: 11}","['O', 'O', 'O', 'B-food']","[1, 1, 1, 3]","['O', 'O', 'B-food']","[1, 1, 3]"
587,id like a restaurant that serves australian asian food,inform_food,6,"['O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 1, 1, 1, 3, 1, 1]","['id', 'like', 'a', 'restaurant', 'that', 'serves', 'australian', 'asian', 'food']","{'text': 'id как ресторан, в который подают блюда австралийской азиатской кухни', 'to': 'ru', 'alignment': {'proj': '0:1-0:1 3:6-3:5 10:19-7:15 21:24-17:17 26:31-27:32 33:42-34:38 33:42-40:52 44:48-54:62 50:53-64:68'}}",1,"id как ресторан, в который подают блюда австралийской азиатской кухни",0:1-0:1 3:6-3:5 10:19-7:15 21:24-17:17 26:31-27:32 33:42-34:38 33:42-40:52 44:48-54:62 50:53-64:68,"{'0:1': ['id', 'O', 1], '3:6': ['like', 'O', 1], '8:8': ['a', 'O', 1], '10:19': ['restaurant', 'O', 1], '21:24': ['that', 'O', 1], '26:31': ['serves', 'O', 1], '33:42': ['australian', 'B-food', 3], '44:48': ['asian', 'O', 1], '50:53': ['food', 'O', 1]}","{0: ['id', 'O', 1], 3: ['like', 'O', 1], 8: ['a', 'O', 1], 10: ['restaurant', 'O', 1], 21: ['that', 'O', 1], 26: ['serves', 'O', 1], 33: ['australian', 'B-food', 3], 44: ['asian', 'O', 1], 50: ['food', 'O', 1]}","{'0:1': '0:1', '3:5': '3:6', '7:15': '10:19', '17:17': '21:24', '27:32': '26:31', '34:38': '33:42', '40:52': '33:42', '54:62': '44:48', '64:68': '50:53'}","{0: 0, 3: 3, 7: 10, 17: 21, 27: 26, 34: 33, 40: 33, 54: 44, 64: 50}","['O', 'O', 'O', 'O', 'O', 'B-food', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 3, 1, 1, 1]","['O', 'O', 'O', 'O', -100, 'O', 'B-food', 'B-food', 'O', 'O']","[1, 1, 1, 1, -100, 1, 3, 3, 1, 1]"
588,could i have a restaurant that serves turkish food,inform_food,6,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 1, 3, 1]","['could', 'i', 'have', 'a', 'restaurant', 'that', 'serves', 'turkish', 'food']","{'text': 'Могу ли я иметь ресторан, в который подают блюда турецкой кухни', 'to': 'ru', 'alignment': {'proj': '0:4-0:3 0:4-5:6 6:6-8:8 8:11-10:14 15:24-16:24 26:29-26:26 31:36-36:41 38:44-43:47 38:44-49:56 46:49-58:62'}}",1,"Могу ли я иметь ресторан, в который подают блюда турецкой кухни",0:4-0:3 0:4-5:6 6:6-8:8 8:11-10:14 15:24-16:24 26:29-26:26 31:36-36:41 38:44-43:47 38:44-49:56 46:49-58:62,"{'0:4': ['could', 'O', 1], '6:6': ['i', 'O', 1], '8:11': ['have', 'O', 1], '13:13': ['a', 'O', 1], '15:24': ['restaurant', 'O', 1], '26:29': ['that', 'O', 1], '31:36': ['serves', 'O', 1], '38:44': ['turkish', 'B-food', 3], '46:49': ['food', 'O', 1]}","{0: ['could', 'O', 1], 6: ['i', 'O', 1], 8: ['have', 'O', 1], 13: ['a', 'O', 1], 15: ['restaurant', 'O', 1], 26: ['that', 'O', 1], 31: ['serves', 'O', 1], 38: ['turkish', 'B-food', 3], 46: ['food', 'O', 1]}","{'0:3': '0:4', '5:6': '0:4', '8:8': '6:6', '10:14': '8:11', '16:24': '15:24', '26:26': '26:29', '36:41': '31:36', '43:47': '38:44', '49:56': '38:44', '58:62': '46:49'}","{0: 0, 5: 0, 8: 6, 10: 8, 16: 15, 26: 26, 36: 31, 43: 38, 49: 38, 58: 46}","['O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 1, 1, 1, 3, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O', -100, 'O', 'B-food', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, -100, 1, 3, 3, 1]"
